fedex_track_id,first_time,end_second_time,end_second_place,current_time,current_place
112925109082,2020-07-27 03:08:52,2020-08-05 10:06:00,"[SAN BERNARDINO, CA]Delivery exception",2020-08-05 11:08:00,"[MORENO VALLEY, CA]Delivered"
112925109689,2020-07-30 03:41:25,2020-08-06 03:08:00,"[AURORA, IL]On FedEx vehicle for delivery",2020-08-06 08:30:00,"[AURORA, IL]On FedEx vehicle for delivery"
112925109759,2020-07-30 03:41:25,2020-08-06 23:09:00,[GUANGZHOU CN]International shipment release - Export,2020-08-07 05:37:00,[GUANGZHOU CN]In transit
112925109829,2020-07-30 03:41:26,2020-08-06 23:29:00,[GUANGZHOU CN]International shipment release - Export,2020-08-07 05:37:00,[GUANGZHOU CN]In transit
112925109895,2020-07-31 04:03:24,2020-08-07 11:03:00,[SENNAN-SHI JP]In transit,2020-08-07 11:14:00,[SENNAN-SHI JP]In transit
112925110031,2020-07-31 04:33:28,2020-08-06 23:08:00,[GUANGZHOU CN]International shipment release - Export,2020-08-07 05:41:00,[GUANGZHOU CN]In transit
112925109965,2020-07-31 04:33:28,2020-08-06 05:09:00,[GUANGZHOU CN]At local FedEx facility,2020-08-07 00:30:00,[GUANGZHOU CN]Clearance in progress
112925110101,2020-08-01 01:33:52,2020-08-05 10:06:00,"[SAN BERNARDINO, CA]Delivery exception",2020-08-05 11:08:00,"[MORENO VALLEY, CA]Delivered"
112925110178,2020-08-01 01:33:51,2020-08-05 10:12:00,"[HAMILTON, NJ]On FedEx vehicle for delivery",2020-08-05 10:43:00,"[FLORENCE, NJ]Delivered"
112925110248,2020-08-01 01:33:52,2020-08-05 08:45:00,"[LAS VEGAS, NV]On FedEx vehicle for delivery",2020-08-05 12:20:00,"[HENDERSON, NV]Delivered"
112925110318,2020-08-03 04:09:12,2020-08-05 10:06:00,"[SAN BERNARDINO, CA]Delivery exception",2020-08-05 11:08:00,"[MORENO VALLEY, CA]Delivered"
112925110454,2020-08-03 04:09:08,2020-08-06 23:07:00,[GUANGZHOU CN]International shipment release - Export,2020-08-07 05:37:00,[GUANGZHOU CN]In transit
112925110384,2020-08-03 04:09:10,2020-08-06 23:02:00,[GUANGZHOU CN]International shipment release - Export,2020-08-07 05:37:00,[GUANGZHOU CN]In transit
112925110524,2020-08-03 04:09:09,2020-08-06 22:53:00,[GUANGZHOU CN]Arrived at FedEx location,2020-08-07 05:37:00,[GUANGZHOU CN]In transit
112925110660,2020-08-04 03:04:58,2020-08-06 16:16:00,"[MEMPHIS, TN]Departed FedEx location",2020-08-06 17:32:00,"[ONTARIO, CA]At destination sort facility"
112925110800,2020-08-04 03:04:57,2020-08-06 08:34:00,"[LAS VEGAS, NV]On FedEx vehicle for delivery",2020-08-06 09:16:00,"[HENDERSON, NV]Delivered"
112925110730,2020-08-04 03:04:58,2020-08-06 09:46:00,"[HAMILTON, NJ]On FedEx vehicle for delivery",2020-08-06 11:25:00,"[FLORENCE, NJ]Delivered"
112925110888,2020-08-05 03:38:39,2020-08-06 23:07:00,[GUANGZHOU CN]Clearance in progress,2020-08-07 06:30:00,[GUANGZHOU CN]At local FedEx facility
112925110970,2020-08-05 03:38:38,2020-08-06 22:47:00,[GUANGZHOU CN]Clearance in progress,2020-08-07 06:30:00,[GUANGZHOU CN]At local FedEx facility
112925111050,2020-08-05 03:38:38,2020-08-07 11:03:00,[SENNAN-SHI JP]In transit,2020-08-07 11:14:00,[SENNAN-SHI JP]In transit
112925111120,2020-08-05 04:08:47,2020-08-06 23:21:00,[GUANGZHOU CN]Clearance in progress,2020-08-07 06:30:00,[GUANGZHOU CN]At local FedEx facility
112925110590,2020-08-03 04:39:15,2020-08-06 23:06:00,[GUANGZHOU CN]Arrived at FedEx location,2020-08-07 05:37:00,[GUANGZHOU CN]In transit
